Layer,ID,MRD,SDRD,n,ITS
20cm,20cm_12,-0.07830406169074434,0.11858676301806882,1150,0.1421068134903162
20cm,20cm_13,-0.02636532694442912,0.08626559947677329,1047,0.09020467902483612
20cm,20cm_14,-0.2558114663286014,0.11601864090918575,1159,0.2808911378872672
20cm,20cm_15,0.038485133813187224,0.12177861313467163,1159,0.127715058398072
20cm,20cm_2,-0.5210466191609361,0.09324261059022605,1123,0.529323874172252
20cm,20cm_3,0.20578725855749952,0.1560210704703134,532,0.2582459490782259
20cm,20cm_4,0.23861611417961642,0.1518050490747245,815,0.2828116384994777
20cm,20cm_5,0.19955342036752932,0.047775532275129075,60,0.20519276075084072
20cm,20cm_6,-0.20809213975996588,0.06962569385493465,962,0.21943125546435324
20cm,20cm_7,0.5075783107018447,0.1850852096705293,1014,0.5402705584554114
20cm,20cm_8,-0.05000606060226103,0.10560948582488724,930,0.116850201510969
20cm,20cm_9,0.21805868270549914,0.16325269745825374,824,0.2723986643334612
30cm,30cm_1,-0.1963891033298388,0.04266117097796042,94,0.20096928973330447
30cm,30cm_10,-0.1395706575506498,0.06094414004835354,929,0.15229627919077368
30cm,30cm_11,-0.0023748852926621937,0.06228712344157891,360,0.0623323818474779
30cm,30cm_12,-0.187100905430207,0.12166591729468677,466,0.22318007134141887
30cm,30cm_13,0.17799149225165645,0.09861279429236586,466,0.20348330278457724
30cm,30cm_14,-0.4021957214974652,0.19157432897514,1585,0.44549087747465915
30cm,30cm_15,-0.23038582380320488,0.17286699564515112,1754,0.2880288631246217
30cm,30cm_16,-0.2830052677133049,0.06668826676851733,131,0.29075643841206394
30cm,30cm_17,-0.4151187317812444,0.19412884323855759,1738,0.45826801028743996
30cm,30cm_18,0.18303130203908755,0.21955267842223586,751,0.2858388289377449
30cm,30cm_19,0.15018228218826135,0.09330542469593543,111,0.1768067310963116
30cm,30cm_2,-0.3798708082864843,0.04181076287105544,66,0.3821648477818002
30cm,30cm_20,0.9879575525434919,0.4016776832830315,1028,1.0664919534977046
30cm,30cm_21,-0.029831113597885893,0.03380538759252968,515,0.04508546959687935
30cm,30cm_22,0.2206327958896717,0.1675797636553433,1646,0.27705921354265456
30cm,30cm_23,-0.2577755913836084,0.13071706827646973,1812,0.28902457932149006
30cm,30cm_24,0.09596107406714992,0.18555948314352688,1812,0.2089039241388583
30cm,30cm_3,-0.08426724907638179,0.15082691005058152,588,0.17277073265546794
30cm,30cm_4,-0.30156721299767986,0.11151798266823432,1062,0.3215261177782928
30cm,30cm_5,0.40236371236098556,0.2089824774151742,532,0.45339853649024686
30cm,30cm_6,-0.041203678799131255,0.10681975449448303,785,0.11449106120935208
30cm,30cm_7,0.344601310034556,0.1112836473492715,240,0.3621244441416365
30cm,30cm_8,-0.10822631634029667,0.0740326228815276,1035,0.13112499685150977
30cm,30cm_9,0.6713843917236956,0.2740837801966855,1447,0.7251750961092788
40cm,40cm_1,0.07811340107371766,0.12156502260929722,310,0.1444982980844495
40cm,40cm_10,0.013222256344455998,0.12546475686280303,943,0.1261595548402133
40cm,40cm_11,0.00556504380227037,0.1545973876218743,202,0.15469751766602216
40cm,40cm_12,0.01929993229173194,0.07920596088392551,1689,0.0815234421869647
40cm,40cm_13,-0.11899038500392105,0.067847918199773,1552,0.13697463899359053
40cm,40cm_14,0.010229374199380201,0.11735498982590632,1456,0.11779997340215966
40cm,40cm_15,-0.13545826523401233,0.1313135233533461,1803,0.18865890658985016
40cm,40cm_16,0.04898962282470466,0.140907462289446,1803,0.1491807496742072
40cm,40cm_2,-0.06402265822876359,0.08224351362480418,1629,0.10422521911720993
40cm,40cm_3,0.10589378776682291,0.13393421511862755,310,0.17073918199126917
40cm,40cm_4,0.021321666899874858,0.10256375531195489,912,0.10475656248216515
40cm,40cm_5,0.018082467351461365,0.017977295663914886,63,0.025498211405988444
40cm,40cm_6,-0.207110050510862,0.11738624977570848,1041,0.2380632366809643
40cm,40cm_7,0.43928675818014457,0.19272945130197688,330,0.47970563610570793
40cm,40cm_8,-0.11337988040846342,0.09402114171190692,874,0.1472921327506936
40cm,40cm_9,0.5133644365175521,0.2130281595223819,927,0.5558093570915096
50cm,50cm_1,0.013749798123340064,0.051663970475591126,264,0.05346234930991489
50cm,50cm_10,0.08896215720499284,0.16355378997095907,508,0.18618299500338492
50cm,50cm_11,-0.014827937365369335,0.09557970927332785,693,0.0967230507753203
50cm,50cm_12,-0.1031126625805972,0.05772365360918708,554,0.11817039125962775
50cm,50cm_13,0.10740806411336605,0.09040774960733346,1086,0.14039249775412949
50cm,50cm_14,-0.12379805509492726,0.04456069605648524,609,0.13157360707347468
50cm,50cm_15,0.05571757895555272,0.12652301486502668,1097,0.13824804481512212
50cm,50cm_16,0.29469632458829836,0.12009236519899873,1096,0.3182264915197058
50cm,50cm_2,0.09324727370322432,0.058053533509785954,807,0.10984200838502485
50cm,50cm_3,-0.07784741457075227,0.0878179023742404,532,0.11735503369162394
50cm,50cm_4,-0.2104607653210849,0.06479745852166559,867,0.2202100006139679
50cm,50cm_5,-0.11083358152494932,0.10105085294182145,816,0.1499845247814494
50cm,50cm_6,-0.20630744341672255,0.04619323365371832,1005,0.21141564758676495
50cm,50cm_7,0.3235932242849428,0.1407714436765317,245,0.3528869141210825
50cm,50cm_8,-0.11612916616621387,0.08407989348505589,721,0.1433715861770332
50cm,50cm_9,0.057996954450717536,0.11040371492025768,760,0.1247101719738696
