removal,Layer,min,max,mean,n,n_threshold
0.03571428571428581,10cm,0.19936883353303972,0.2784670978178991,0.24577135391361482,28,7
0.04166666666666674,30cm,0.1826425126281584,0.24948097985210663,0.21149122546858548,24,6
0.06666666666666667,40cm,0.09587959281231588,0.1083605243292098,0.1001498706359884,15,5
0.06666666666666667,50cm,0.163370644403335,0.18062034461758425,0.16985409674709864,15,5
0.07142857142857151,10cm,0.13751735639564042,0.19069766880236552,0.17394865832653875,28,7
0.07142857142857151,20cm,0.1867080783151736,0.3763048741634776,0.22525477194752544,14,6
0.08333333333333337,30cm,0.1296281696670399,0.17350138177884325,0.14936030903090394,24,6
0.1071428571428572,10cm,0.11555084315773724,0.1588888425207572,0.14222988194053712,28,7
0.125,30cm,0.10340861227303771,0.1435830135788811,0.12192519038492391,24,6
0.1333333333333333,40cm,0.09452915176475564,0.1044101012826973,0.10005244650942541,15,5
0.1333333333333333,50cm,0.1658036063367839,0.17606676647259065,0.1705171493581137,15,5
0.1428571428571429,10cm,0.10082434575042908,0.13241885529281985,0.12185934232200905,28,7
0.1428571428571429,20cm,0.12962081026371314,0.27403736792053646,0.1595103847537996,14,6
0.16666666666666674,30cm,0.09027640315306916,0.1220287424709597,0.1054429195467724,24,6
0.1785714285714286,10cm,0.09139162536446584,0.1218779708068962,0.11051823325710165,28,7
0.19999999999999996,40cm,0.06715311693107918,0.0733775042802285,0.07045926416657718,15,5
0.19999999999999996,50cm,0.11456758898969,0.12734693423081184,0.1197053436149134,15,5
0.20833333333333337,30cm,0.08091423268632365,0.11048444393502486,0.09376991189685079,24,6
0.2142857142857143,10cm,0.08042379869196874,0.109672786829973,0.09996888469746537,28,7
0.2142857142857143,20cm,0.10617323413521094,0.22348440952123655,0.12998806130150625,14,6
0.25,10cm,0.07427224414182308,0.10212464157135004,0.09197566571284399,28,7
0.25,30cm,0.07344709066757425,0.10104868098606869,0.08542343767496621,24,6
0.2666666666666667,40cm,0.04797893033624879,0.05451979726031384,0.050377844942271044,15,5
0.2666666666666667,50cm,0.08039647665090965,0.09016124713747883,0.08492315009098227,15,5
0.2857142857142858,10cm,0.06807011500378728,0.0977502278349406,0.08610662374249538,28,7
0.2857142857142858,20cm,0.09197513718884692,0.19431843838707585,0.11325157494292042,14,6
0.29166666666666674,30cm,0.06501588871261482,0.0920390549931518,0.079537856702433,24,6
0.3214285714285715,10cm,0.06723941481900118,0.09223659419831452,0.08094266051277128,28,7
0.33333333333333337,30cm,0.06465846828788209,0.08723066229807654,0.07484413649145218,24,6
0.33333333333333337,40cm,0.04251138278846621,0.04677554249906798,0.044658254580940464,15,5
0.33333333333333337,50cm,0.07249610381358218,0.08120665360948336,0.07658147151716438,15,5
0.3571428571428572,10cm,0.0629809266333069,0.08716466789021647,0.07749393075982847,28,7
0.3571428571428572,20cm,0.082181038237888,0.1746645659649564,0.10107493755348727,14,6
0.375,30cm,0.06148599132222725,0.08191415172682869,0.07064488738766514,24,6
0.3928571428571429,10cm,0.05924359717978598,0.08291833514540346,0.07352548011416818,28,7
0.4,40cm,0.03835229496695026,0.04290493388890424,0.04086898808117642,15,5
0.4,50cm,0.06620900430858084,0.07352318310092429,0.06978309538803547,15,5
0.41666666666666674,30cm,0.05674839342744917,0.07967762615510869,0.06741738502530964,24,6
0.4285714285714286,10cm,0.05649805566773657,0.07722841171116221,0.07009814868377472,28,7
0.4285714285714286,20cm,0.07406310721748469,0.15885637876686198,0.09190064034141462,14,6
0.45833333333333337,30cm,0.05608012362873233,0.07566020149617429,0.06372828355392496,24,6
0.4642857142857143,10cm,0.05595516679160824,0.07433412809887927,0.06790859592534232,28,7
0.4666666666666667,40cm,0.03585842415587165,0.04109644439100755,0.0378700996827577,15,5
0.4666666666666667,50cm,0.0609171852588096,0.0678237855695693,0.06469813246250618,15,5
0.5,10cm,0.05456184284858994,0.07494130358419454,0.0654531681592811,28,7
0.5,20cm,0.0688215290589385,0.1445049842954429,0.0849140885223064,14,6
0.5,30cm,0.05000766984375048,0.07060334812183429,0.06087700723688041,24,6
0.5333333333333333,40cm,0.03297832265897173,0.0371780024102062,0.03523546564292765,15,5
0.5333333333333333,50cm,0.05506917742390935,0.06457681091157032,0.06037745754941096,15,5
0.5357142857142858,10cm,0.0527746364585111,0.07058867651398713,0.06315799679916706,28,7
0.5416666666666667,30cm,0.05069154437833569,0.06771422478549516,0.05885908578007434,24,6
0.5714285714285714,10cm,0.05032866263359209,0.06758337782783155,0.06082578872114594,28,7
0.5714285714285714,20cm,0.0628067186067204,0.13742800601025781,0.07899423466185936,14,6
0.5833333333333334,30cm,0.04754397587908125,0.06610682948760155,0.05696066501336393,24,6
0.6,40cm,0.03066221552577464,0.03515939167305709,0.03326089492485643,15,5
0.6,50cm,0.05398728814278545,0.06002246187116704,0.05728449569194283,15,5
0.6071428571428572,10cm,0.04776058403207095,0.06616508301986151,0.05939006336058801,28,7
0.625,30cm,0.04694402902831447,0.06412440837512594,0.05446030176324445,24,6
0.6428571428571429,10cm,0.04524355858573904,0.06378618373833823,0.05730150106282363,28,7
0.6428571428571429,20cm,0.06083595988029335,0.13436278802709423,0.07526242359140743,14,6
0.6666666666666667,30cm,0.04515003993694114,0.06132868325956236,0.05285261704391119,24,6
0.6666666666666667,40cm,0.02983409604580495,0.03407374821793289,0.031708583109278425,15,5
0.6666666666666667,50cm,0.05095666921761665,0.05638847608022891,0.053496493607616,15,5
0.6785714285714286,10cm,0.04522932385248061,0.06408761567808033,0.056081489025699184,28,7
0.7083333333333334,30cm,0.04375255704139309,0.05904441781312091,0.050748682208637624,24,6
0.7142857142857143,10cm,0.04425915961668902,0.06079553475148885,0.0543231164753412,28,7
0.7142857142857143,20cm,0.05627249845331118,0.12055330309782478,0.07134466012943846,14,6
0.7333333333333334,40cm,0.02886210573671583,0.0311800155739738,0.03006799244382368,15,5
0.7333333333333334,50cm,0.04898637145133248,0.05370119540498575,0.051348529479824094,15,5
0.75,10cm,0.04202247882003276,0.05989033331646997,0.053075256677201955,28,7
0.75,30cm,0.04363176583191559,0.05714052588527611,0.05003913820195598,24,6
0.7857142857142857,10cm,0.04178592984123426,0.05773330397617233,0.05206939057732038,28,7
0.7857142857142857,20cm,0.055084801166344,0.1145696833610714,0.0677811433061263,14,6
0.7916666666666667,30cm,0.04127669175626838,0.05624962866086434,0.04838241105490528,24,6
0.8,40cm,0.02671394947747847,0.03069012355379286,0.028813637106111362,15,5
0.8,50cm,0.04614158444772263,0.05162133008744005,0.04935948553359276,15,5
0.8214285714285714,10cm,0.04027524433277976,0.05640954656756006,0.050630715160754444,28,7
0.8333333333333334,30cm,0.04039844220664274,0.05572733320843988,0.0474921683383586,24,6
0.8571428571428572,10cm,0.04102833535093733,0.05634478902693516,0.05014220885505665,28,7
0.8571428571428572,20cm,0.05171263008532571,0.10822375837734056,0.06441249000814016,14,6
0.8666666666666667,40cm,0.02576286338338809,0.0298001742181472,0.02774620239774747,15,5
0.8666666666666667,50cm,0.04469543847938872,0.04980253590417785,0.04711804831440194,15,5
0.875,30cm,0.03933616714915462,0.05493357035488436,0.04591189423286249,24,6
0.8928571428571429,10cm,0.03988187296605815,0.05540347000955491,0.04889702005192339,28,7
0.9166666666666666,30cm,0.03820924584666601,0.0541633542367507,0.04521352146630963,24,6
0.9285714285714286,10cm,0.03938759773645109,0.05424050454463754,0.04769981638435425,28,7
0.9285714285714286,20cm,0.05005383932455003,0.1068523199554854,0.06203306592343063,14,6
0.9333333333333332,40cm,0.02516428481664118,0.02878931804712221,0.026929773964079647,15,5
0.9333333333333332,50cm,0.0428689670412665,0.04842789215360648,0.04551576733079604,15,5
0.9583333333333334,30cm,0.03718394233032199,0.05287963757149874,0.043962156841022636,24,6
0.9642857142857144,10cm,0.03801833670808445,0.05317571545894627,0.047037061726814086,28,7
1,10cm,0.03591132171081631,0.05109463984362328,0.04563814812152635,28,7
1,20cm,0.04906270686580647,0.10322667128821636,0.059807278695049024,14,6
1,30cm,0.03728501377682498,0.05062481691396526,0.04297552037839409,24,6
1,40cm,0.02457842113945572,0.02693573858498665,0.025817854964608308,15,5
1,50cm,0.04166027354024913,0.0458957262032048,0.04388053457883952,15,5
